Location,Month,Date,PP_mg_C_m2_d1,Chl_mg_chl_m2,Euphotic Zone Depth_m,,,,,,
Admiralty Inlet,June,9-Jun-99,2333,37.7,25.2,,,,,,
Admiralty Inlet,June,30-Jun-99,1714,51.6,31.5,,,,,,
Admiralty Inlet,July,22-Jul-99,3332,208.1,15.3,,,,,,
Admiralty Inlet,August,4-Aug-99,6387,197.4,17.9,,,,,,
Admiralty Inlet,August,25-Aug-99,2734,63.1,19.2,,,,,,
Admiralty Inlet,September,15-Sep-99,5122,180.5,7.5,,,,,,
Admiralty Inlet,June,15-Jun-00,4025,49.5,11.4,,,,,,
Admiralty Inlet,June,28-Jun-00,8867,104.1,7.8,,,,,,
Admiralty Inlet,July,13-Jul-00,6018,61.1,12.7,,,,,,
Admiralty Inlet,July,31-Jul-00,2274,30.2,26.0,,,,,,
Admiralty Inlet,August,16-Aug-00,9921,100.0,15.1,,,,,,
Admiralty Inlet,September,6-Sep-00,2588,47.4,20.5,,,,,,
Admiralty Inlet,September,27-Sep-00,2364,60.6,28.3,,,,,,
Admiralty Inlet,June,20-Jun-01,9642,91,10.9,,,,,,
Admiralty Inlet,August,1-Aug-01,1474,18,27.6,,,,,,
Admiralty Inlet,September,17-Sep-01,2306,83,20.5,,,,,,
Point Wells,June,9-Jun-99,1077,20.7,24.4,,,,,,
Point Wells,June,30-Jun-99,2253,110.7,29.9,,,,,,
Point Wells,July,22-Jul-99,4733,205.0,15.9,,,,,,
Point Wells,August,4-Aug-99,4267,107.5,10.9,,,,,,
Point Wells,August,25-Aug-99,4219,171.0,24.2,,,,,,
Point Wells,September,15-Sep-99,2853,95.0,28.1,,,,,,
Point Wells,June,15-Jun-00,2752,38.8,26.8,,,,,,
Point Wells,June,28-Jun-00,5719,70.9,9.1,,,,,,
Point Wells,July,13-Jul-00,5402,49.3,10.4,,,,,,
Point Wells,July,31-Jul-00,2323,34.7,32.0,,,,,,
Point Wells,August,16-Aug-00,10856,155.6,10.1,,,,,,
Point Wells,September,6-Sep-00,1376,37.2,33.8,,,,,,
Point Wells,September,27-Sep-00,2373,74.5,30.2,,,,,,
Point Wells,June,20-Jun-01,13295,191,9.6,,,,,,
Point Wells,August,1-Aug-01,1329,24,32.5,,,,,,
Point Wells,September,17-Sep-01,5367,265,12.5,,,,,,
Possession Sound,June,9-Jun-99,1597,32.5,17.4,,,,,,
Possession Sound,June,30-Jun-99,1321,72.6,21.3,,,,,,
Possession Sound,July,22-Jul-99,2461,101.1,12.2,,,,,,
Possession Sound,August,4-Aug-99,2909,71.5,16.1,,,,,,
Possession Sound,August,25-Aug-99,3567,151.1,23.7,,,,,,
Possession Sound,September,15-Sep-99,3174,170.7,7.3,,,,,,
Possession Sound,June,15-Jun-00,1095,11.6,7.0,,,,,,
Possession Sound,June,28-Jun-00,7245,96.9,9.1,,,,,,
Possession Sound,July,13-Jul-00,3469,37.2,8.1,,,,,,
Possession Sound,July,31-Jul-00,2097,25.4,18.5,,,,,,
Possession Sound,August,16-Aug-00,4424,52.4,10.4,,,,,,
Possession Sound,September,6-Sep-00,4279,96.0,10.1,,,,,,
Possession Sound,September,27-Sep-00,1740,53.1,18.2,,,,,,
Possession Sound,June,20-Jun-01,5579,72,7.5,,,,,,
Possession Sound,August,1-Aug-01,2181,30,28.3,,,,,,
Possession Sound,September,17-Sep-01,4845,101,15.1,,,,,,
West Point,June,9-Jun-99,1022,18.1,32.2,,,,,,
West Point,June,30-Jun-99,3861,179.1,22.9,,,,,,
West Point,July,22-Jul-99,6345,290.3,16.9,,,,,,
West Point,August,4-Aug-99,5769,225.9,16.9,,,,,,
West Point,August,25-Aug-99,2828,148.5,28.9,,,,,,
West Point,September,15-Sep-99,4345,180.5,27.8,,,,,,
West Point,June,15-Jun-00,5725,70.1,19.8,,,,,,
West Point,June,28-Jun-00,4221,106.4,9.1,,,,,,
West Point,July,13-Jul-00,5083,68.4,15.6,,,,,,
West Point,July,31-Jul-00,3040,42.3,25.7,,,,,,
West Point,August,16-Aug-00,10780,187.0,13.5,,,,,,
West Point,September,6-Sep-00,1027,35.0,26.8,,,,,,
West Point,September,27-Sep-00,5430,144.5,27.3,,,,,,
West Point,June,20-Jun-01,11160,281,7.8,,,,,,
West Point,August,1-Aug-01,4705,110,22.9,,,,,,
West Point,September,17-Sep-01,5987,199,16.9,,,,,,