sample_id,analyte_short,concentration,units,sample_fration,sample_type,analyte_long,station,cast,depth_m,parent_id,collection_timestamp_UTC
S5_UWAY_A,PO4,0.335485563,umol/L,dissolved,nutrients,phosphate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,Si(OH)4,18.5544022,umol/L,dissolved,nutrients,silicate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,NO3,0.680184328,umol/L,dissolved,nutrients,nitrate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,NO2,0.07444506,umol/L,dissolved,nutrients,nitrite,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_A,NH4,0.249939754,umol/L,dissolved,nutrients,ammonium,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,PO4,0.340255074,umol/L,dissolved,nutrients,phosphate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,Si(OH)4,18.70468378,umol/L,dissolved,nutrients,silicate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,NO3,0.812396482,umol/L,dissolved,nutrients,nitrate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,NO2,0.082272666,umol/L,dissolved,nutrients,nitrite,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_B,NH4,0.30146761,umol/L,dissolved,nutrients,ammonium,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,PO4,0.32036614,umol/L,dissolved,nutrients,phosphate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,Si(OH)4,18.47772733,umol/L,dissolved,nutrients,silicate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,NO3,0.644272317,umol/L,dissolved,nutrients,nitrate,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,NO2,0.080846217,umol/L,dissolved,nutrients,nitrite,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_UWAY_C,NH4,0.284413581,umol/L,dissolved,nutrients,ammonium,5,NA,NA,S5_UWAY,2022-06-07T15:00:00Z
S5_C3_D3_A,PO4,0.272692996,umol/L,dissolved,nutrients,phosphate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,Si(OH)4,18.05361516,umol/L,dissolved,nutrients,silicate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,NO3,0.940189501,umol/L,dissolved,nutrients,nitrate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,NO2,0.075044349,umol/L,dissolved,nutrients,nitrite,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_A,NH4,0.270335426,umol/L,dissolved,nutrients,ammonium,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,PO4,0.271911516,umol/L,dissolved,nutrients,phosphate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,Si(OH)4,18.09762112,umol/L,dissolved,nutrients,silicate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,NO3,1.103233428,umol/L,dissolved,nutrients,nitrate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,NO2,0.081579992,umol/L,dissolved,nutrients,nitrite,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_B,NH4,1.562719408,umol/L,dissolved,nutrients,ammonium,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,PO4,0.268209535,umol/L,dissolved,nutrients,phosphate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,Si(OH)4,18.69970917,umol/L,dissolved,nutrients,silicate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,NO3,1.165730309,umol/L,dissolved,nutrients,nitrate,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,NO2,0.091342771,umol/L,dissolved,nutrients,nitrite,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D3_C,NH4,1.496640616,umol/L,dissolved,nutrients,ammonium,5,3,4,S5_C3_D3,2022-06-07T16:16:00Z
S5_C3_D2_A,PO4,0.608892354,umol/L,dissolved,nutrients,phosphate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,Si(OH)4,21.37426661,umol/L,dissolved,nutrients,silicate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,NO3,6.300850088,umol/L,dissolved,nutrients,nitrate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,NO2,0.207755573,umol/L,dissolved,nutrients,nitrite,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_A,NH4,1.577938118,umol/L,dissolved,nutrients,ammonium,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,PO4,0.597029417,umol/L,dissolved,nutrients,phosphate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,Si(OH)4,21.29145563,umol/L,dissolved,nutrients,silicate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,NO3,6.316202069,umol/L,dissolved,nutrients,nitrate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,NO2,0.214716016,umol/L,dissolved,nutrients,nitrite,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_B,NH4,0.553011941,umol/L,dissolved,nutrients,ammonium,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,PO4,0.599767354,umol/L,dissolved,nutrients,phosphate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,Si(OH)4,21.29349339,umol/L,dissolved,nutrients,silicate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,NO3,6.577668495,umol/L,dissolved,nutrients,nitrate,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,NO2,0.225548666,umol/L,dissolved,nutrients,nitrite,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D2_C,NH4,1.485580707,umol/L,dissolved,nutrients,ammonium,5,3,9,S5_C3_D2,2022-06-07T15:58:00Z
S5_C3_D1_A,PO4,1.847009371,umol/L,dissolved,nutrients,phosphate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,Si(OH)4,33.7806405,umol/L,dissolved,nutrients,silicate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,NO3,21.74565939,umol/L,dissolved,nutrients,nitrate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,NO2,0.531628245,umol/L,dissolved,nutrients,nitrite,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_A,NH4,2.428767478,umol/L,dissolved,nutrients,ammonium,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,PO4,1.848661489,umol/L,dissolved,nutrients,phosphate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,Si(OH)4,33.86096332,umol/L,dissolved,nutrients,silicate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,NO3,21.8239587,umol/L,dissolved,nutrients,nitrate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,NO2,0.526815483,umol/L,dissolved,nutrients,nitrite,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_B,NH4,1.142776126,umol/L,dissolved,nutrients,ammonium,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_C,PO4,1.834866669,umol/L,dissolved,nutrients,phosphate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_C,Si(OH)4,33.93810875,umol/L,dissolved,nutrients,silicate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_C,NO3,21.68691564,umol/L,dissolved,nutrients,nitrate,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_C,NO2,0.537420522,umol/L,dissolved,nutrients,nitrite,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S5_C3_D1_C,NH4,1.135977223,umol/L,dissolved,nutrients,ammonium,5,3,30,S5_C3_D1,2022-06-07T15:50:00Z
S6_C1_D2_A,PO4,0.636360948,umol/L,dissolved,nutrients,phosphate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_A,Si(OH)4,14.81698112,umol/L,dissolved,nutrients,silicate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_A,NO3,2.919792445,umol/L,dissolved,nutrients,nitrate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_A,NO2,0.093198303,umol/L,dissolved,nutrients,nitrite,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_A,NH4,2.1590605,umol/L,dissolved,nutrients,ammonium,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_B,PO4,0.382864127,umol/L,dissolved,nutrients,phosphate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_B,Si(OH)4,14.76947044,umol/L,dissolved,nutrients,silicate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_B,NO3,1.780234198,umol/L,dissolved,nutrients,nitrate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_B,NO2,0.073416543,umol/L,dissolved,nutrients,nitrite,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_B,NH4,0.898085442,umol/L,dissolved,nutrients,ammonium,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,PO4,0.359801043,umol/L,dissolved,nutrients,phosphate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,Si(OH)4,11.15401161,umol/L,dissolved,nutrients,silicate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,NO3,0.669713395,umol/L,dissolved,nutrients,nitrate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,NO2,0.053636215,umol/L,dissolved,nutrients,nitrite,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,NH4,0.871763344,umol/L,dissolved,nutrients,ammonium,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D1_A,PO4,0.642274522,umol/L,dissolved,nutrients,phosphate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,Si(OH)4,13.99464234,umol/L,dissolved,nutrients,silicate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,NO3,2.234434623,umol/L,dissolved,nutrients,nitrate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,NO2,0.079527739,umol/L,dissolved,nutrients,nitrite,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,NH4,2.480434787,umol/L,dissolved,nutrients,ammonium,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,PO4,0.536178628,umol/L,dissolved,nutrients,phosphate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,Si(OH)4,9.862020672,umol/L,dissolved,nutrients,silicate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,NO3,1.506070563,umol/L,dissolved,nutrients,nitrate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,NO2,0.066201039,umol/L,dissolved,nutrients,nitrite,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,NH4,1.861759907,umol/L,dissolved,nutrients,ammonium,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,PO4,0.511540151,umol/L,dissolved,nutrients,phosphate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,Si(OH)4,11.20624613,umol/L,dissolved,nutrients,silicate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,NO3,0.981018795,umol/L,dissolved,nutrients,nitrate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,NO2,0.063342177,umol/L,dissolved,nutrients,nitrite,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,NH4,1.27754425,umol/L,dissolved,nutrients,ammonium,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C2_D4_A,PO4,2.219907611,umol/L,dissolved,nutrients,phosphate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_A,Si(OH)4,42.5649864,umol/L,dissolved,nutrients,silicate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_A,NO3,23.2356832,umol/L,dissolved,nutrients,nitrate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_A,NO2,0.639581703,umol/L,dissolved,nutrients,nitrite,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_A,NH4,2.346601671,umol/L,dissolved,nutrients,ammonium,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_B,PO4,2.199041743,umol/L,dissolved,nutrients,phosphate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_B,Si(OH)4,44.2485747,umol/L,dissolved,nutrients,silicate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_B,NO3,23.89336992,umol/L,dissolved,nutrients,nitrate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_B,NO2,0.646451531,umol/L,dissolved,nutrients,nitrite,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_B,NH4,2.589753392,umol/L,dissolved,nutrients,ammonium,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_C,PO4,2.203631684,umol/L,dissolved,nutrients,phosphate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_C,Si(OH)4,43.07601613,umol/L,dissolved,nutrients,silicate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_C,NO3,23.9471005,umol/L,dissolved,nutrients,nitrate,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_C,NO2,0.647227793,umol/L,dissolved,nutrients,nitrite,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D4_C,NH4,2.611306364,umol/L,dissolved,nutrients,ammonium,6,2,25,S6_C2_D4,2022-06-08T01:00:00Z
S6_C2_D3_A,PO4,2.231179806,umol/L,dissolved,nutrients,phosphate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_A,Si(OH)4,44.20547805,umol/L,dissolved,nutrients,silicate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_A,NO3,24.58008154,umol/L,dissolved,nutrients,nitrate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_A,NO2,0.662770185,umol/L,dissolved,nutrients,nitrite,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_A,NH4,2.156960079,umol/L,dissolved,nutrients,ammonium,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_B,PO4,2.233276773,umol/L,dissolved,nutrients,phosphate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_B,Si(OH)4,44.11506574,umol/L,dissolved,nutrients,silicate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_B,NO3,25.04656015,umol/L,dissolved,nutrients,nitrate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_B,NO2,0.665409423,umol/L,dissolved,nutrients,nitrite,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_B,NH4,1.724841035,umol/L,dissolved,nutrients,ammonium,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_C,PO4,2.217607222,umol/L,dissolved,nutrients,phosphate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_C,Si(OH)4,44.20717112,umol/L,dissolved,nutrients,silicate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_C,NO3,24.92270587,umol/L,dissolved,nutrients,nitrate,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_C,NO2,0.663461247,umol/L,dissolved,nutrients,nitrite,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
S6_C2_D3_C,NH4,2.138000962,umol/L,dissolved,nutrients,ammonium,6,2,50,S6_C2_D3,2022-06-08T01:00:00Z
UNT2_A,PO4,0.648927336,umol/L,dissolved,nutrients,phosphate,NA,NA,2,UNT2,NA
UNT2_A,Si(OH)4,13.25100574,umol/L,dissolved,nutrients,silicate,NA,NA,2,UNT2,NA
UNT2_A,NO3,2.936682034,umol/L,dissolved,nutrients,nitrate,NA,NA,2,UNT2,NA
UNT2_A,NO2,0.213848775,umol/L,dissolved,nutrients,nitrite,NA,NA,2,UNT2,NA
UNT2_A,NH4,0.388564608,umol/L,dissolved,nutrients,ammonium,NA,NA,2,UNT2,NA
UNT2_B,PO4,0.64952053,umol/L,dissolved,nutrients,phosphate,NA,NA,2,UNT2,NA
UNT2_B,Si(OH)4,12.87669202,umol/L,dissolved,nutrients,silicate,NA,NA,2,UNT2,NA
UNT2_B,NO3,3.153040831,umol/L,dissolved,nutrients,nitrate,NA,NA,2,UNT2,NA
UNT2_B,NO2,0.21134383,umol/L,dissolved,nutrients,nitrite,NA,NA,2,UNT2,NA
UNT2_B,NH4,0.322288822,umol/L,dissolved,nutrients,ammonium,NA,NA,2,UNT2,NA
UNT2_C,PO4,0.655369568,umol/L,dissolved,nutrients,phosphate,NA,NA,2,UNT2,NA
UNT2_C,Si(OH)4,13.28412468,umol/L,dissolved,nutrients,silicate,NA,NA,2,UNT2,NA
UNT2_C,NO3,3.532064992,umol/L,dissolved,nutrients,nitrate,NA,NA,2,UNT2,NA
UNT2_C,NO2,0.223315383,umol/L,dissolved,nutrients,nitrite,NA,NA,2,UNT2,NA
UNT2_C,NH4,0.405485278,umol/L,dissolved,nutrients,ammonium,NA,NA,2,UNT2,NA
S7_C3_D6_A,PO4,0.443688397,umol/L,dissolved,nutrients,phosphate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_A,Si(OH)4,5.119166529,umol/L,dissolved,nutrients,silicate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_A,NO3,1.478798575,umol/L,dissolved,nutrients,nitrate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_A,NO2,0.126001003,umol/L,dissolved,nutrients,nitrite,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_A,NH4,1.255737715,umol/L,dissolved,nutrients,ammonium,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_B,PO4,0.46078168,umol/L,dissolved,nutrients,phosphate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_B,Si(OH)4,5.120976469,umol/L,dissolved,nutrients,silicate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_B,NO3,1.385618846,umol/L,dissolved,nutrients,nitrate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_B,NO2,0.125004368,umol/L,dissolved,nutrients,nitrite,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_B,NH4,1.533074109,umol/L,dissolved,nutrients,ammonium,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_C,PO4,0.471054571,umol/L,dissolved,nutrients,phosphate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_C,Si(OH)4,5.65231,umol/L,dissolved,nutrients,silicate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_C,NO3,1.572558865,umol/L,dissolved,nutrients,nitrate,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_C,NO2,0.131746776,umol/L,dissolved,nutrients,nitrite,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D6_C,NH4,1.046956212,umol/L,dissolved,nutrients,ammonium,7,3,3,S7_C3_D6,2022-06-08T18:30:00Z
S7_C3_D5_A,PO4,0.662351636,umol/L,dissolved,nutrients,phosphate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_A,Si(OH)4,9.039544587,umol/L,dissolved,nutrients,silicate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_A,NO3,3.500136985,umol/L,dissolved,nutrients,nitrate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_A,NO2,0.215803949,umol/L,dissolved,nutrients,nitrite,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_A,NH4,0.575301888,umol/L,dissolved,nutrients,ammonium,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_B,PO4,0.536239981,umol/L,dissolved,nutrients,phosphate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_B,Si(OH)4,6.813536674,umol/L,dissolved,nutrients,silicate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_B,NO3,2.558524689,umol/L,dissolved,nutrients,nitrate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_B,NO2,0.161925028,umol/L,dissolved,nutrients,nitrite,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_B,NH4,0.861943638,umol/L,dissolved,nutrients,ammonium,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_C,PO4,0.525136426,umol/L,dissolved,nutrients,phosphate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_C,Si(OH)4,6.555803736,umol/L,dissolved,nutrients,silicate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_C,NO3,1.468693722,umol/L,dissolved,nutrients,nitrate,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_C,NO2,0.15791796,umol/L,dissolved,nutrients,nitrite,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C3_D5_C,NH4,0.931107385,umol/L,dissolved,nutrients,ammonium,7,3,6,S7_C3_D5,2022-06-08T18:30:00Z
S7_C2_D4_A,PO4,1.593179717,umol/L,dissolved,nutrients,phosphate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_A,Si(OH)4,27.02107074,umol/L,dissolved,nutrients,silicate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
