cruise,exp,Samp_ID,spike_conc,Local_Date,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,Lat_N,Long_W
TN412,UKG,G5_UKG_0nM_A,0,1/25/23,2,13:06,13:31,13:45,25.49,129.3
TN412,UKG,G5_UKG_0nM_B,0,1/25/23,2,13:06,13:31,13:45,25.49,129.3
TN412,UKG,G5_UKG_0nM_C,0,1/25/23,2,13:06,13:31,13:43,25.49,129.3
TN412,UKG,G5_UKG_2nM_A,2,1/25/23,2,13:06,13:33,13:49,25.49,129.3
TN412,UKG,G5_UKG_2nM_B,2,1/25/23,2,13:06,13:33,13:47,25.49,129.3
TN412,UKG,G5_UKG_2nM_C,2,1/25/23,2,13:06,13:33,13:49,25.49,129.3
TN412,UKG,G5_UKG_5nM_A,5,1/25/23,2,13:29,14:02,14:14,25.49,129.3
TN412,UKG,G5_UKG_5nM_B,5,1/25/23,2,13:29,14:02,14:16,25.49,129.3
TN412,UKG,G5_UKG_5nM_C,5,1/25/23,2,13:29,14:02,14:14,25.49,129.3
TN412,UKG,G5_UKG_10nM_A,10,1/25/23,2,13:30,14:02,14:44,25.49,129.3
TN412,UKG,G5_UKG_10nM_B,10,1/25/23,2,13:30,14:02,14:45,25.49,129.3
TN412,UKG,G5_UKG_10nM_C,10,1/25/23,2,13:30,14:01,14:45,25.49,129.3
TN412,UKG,G5_UKG_50nM_A,50,1/25/23,2,13:58,14:34,14:43,25.49,129.3
TN412,UKG,G5_UKG_50nM_B,50,1/25/23,2,13:58,14:34,14:45,25.49,129.3
TN412,UKG,G5_UKG_50nM_C,50,1/25/23,2,13:58,14:34,14:45,25.49,129.3
TN412,UKG,G5_UKG_200nM_A,200,1/25/23,2,13:59,14:34,14:43,25.49,129.3
TN412,UKG,G5_UKG_200nM_B,200,1/25/23,2,13:59,14:34,14:45,25.49,129.3
TN412,UKG,G5_UKG_200nM_C,200,1/25/23,2,13:59,14:34,14:45,25.49,129.3
TN412,UKG,G5_UKG_1000nM_A,1000,1/25/23,2,14:31,15:01,15:12,25.49,129.3
TN412,UKG,G5_UKG_1000nM_B,1000,1/25/23,2,14:31,15:01,15:13,25.49,129.3
TN412,UKG,G5_UKG_1000nM_C,1000,1/25/23,2,14:31,15:01,15:11,25.49,129.3
TN412,UKG,G5_UKG_5nM_blk,5,1/25/23,2,14:25,,,,
TN412,UKG,G5_UKG_50nM_blk,50,1/25/23,2,14:56,,,,
TN412,UKG,G5_UKG_1000nM_blk,1000,1/25/23,2,15:11,,,,
RC078,UKH1,RC078_UKH1_0nM_A,0nM,6/4/22,1,14:11,14:39,14:51,,
RC078,UKH1,RC078_UKH1_0nM_B,0nM,6/4/22,1,14:11,14:40,14:54,,
RC078,UKH1,RC078_UKH1_0nM_C,0nM,6/4/22,1,14:11,14:40,14:51,,
RC078,UKH1,RC078_UKH1_5nM_A,5nM,6/4/22,1,14:11,14:41,14:51,,
RC078,UKH1,RC078_UKH1_5nM_B,5nM,6/4/22,1,14:11,14:41,14:52,,
RC078,UKH1,RC078_UKH1_5nM_C,5nM,6/4/22,1,14:11,14:41,14:51,,
RC078,UKH1,RC078_UKH1_10nM_A,10nM,6/4/22,1,14:39,15:08,15:20,,
RC078,UKH1,RC078_UKH1_10nM_B,10nM,6/4/22,1,14:39,15:08,15:19,,
RC078,UKH1,RC078_UKH1_10nM_C,10nM,6/4/22,1,14:39,15:08,15:19,,
RC078,UKH1,RC078_UKH1_50nM_A,50nM,6/4/22,1,14:39,15:09,15:19,,
RC078,UKH1,RC078_UKH1_50nM_B,50nM,6/4/22,1,14:39,15:09,15:21,,
RC078,UKH1,RC078_UKH1_50nM_C,50nM,6/4/22,1,14:39,15:09,15:17,,
RC078,UKH1,RC078_UKH1_200nM_A,200nM,6/4/22,1,15:09,15:35,15:43,,
RC078,UKH1,RC078_UKH1_200nM_B,200nM,6/4/22,1,15:09,15:35,15:44,,
RC078,UKH1,RC078_UKH1_200nM_C,200nM,6/4/22,1,15:09,15:35,15:42,,
RC078,UKH1,RC078_UKH1_500nM_A,500nm,6/4/22,1,15:10,15:36,15:45,,
RC078,UKH1,RC078_UKH1_500nM_B,500nm,6/4/22,1,15:10,15:36,15:43,,
RC078,UKH1,RC078_UKH1_500nM_C,500nm,6/4/22,1,15:10,15:36,15:42,,
RC078,UKH1,RC078_UKH1_2000nM_A,2000nM,6/4/22,1,15:34,16:01,16:09,,
RC078,UKH1,RC078_UKH1_2000nM_B,2000nM,6/4/22,1,15:34,16:01,16:10,,
RC078,UKH1,RC078_UKH1_2000nM_C,2000nM,6/4/22,1,15:34,16:01,16:10,,
RC078,UKH2,RC078_UKH2_0nM_A,0nM,6/7/22,1,8:17,8:52,8:59,,
RC078,UKH2,RC078_UKH2_0nM_B,0nM,6/7/22,1,8:17,8:54,9:01,,
RC078,UKH2,RC078_UKH2_0nM_C,0nM,6/7/22,1,8:17,8:54,9:02,,
RC078,UKH2,RC078_UKH2_5nM_A,5nM,6/7/22,1,8:17,8:49,8:59,,
RC078,UKH2,RC078_UKH2_5nM_B,5nM,6/7/22,1,8:17,8:49,9:03,,
RC078,UKH2,RC078_UKH2_5nM_C,5nM,6/7/22,1,8:17,8:49,9:03,,
RC078,UKH2,RC078_UKH2_10nM_A,10nM,6/7/22,1,8:49,9:20,9:31,,
RC078,UKH2,RC078_UKH2_10nM_B,10nM,6/7/22,1,8:49,9:20,9:31,,
RC078,UKH2,RC078_UKH2_10nM_C,10nM,6/7/22,1,8:49,9:20,9:31,,
RC078,UKH2,RC078_UKH2_50nM_A,50nM,6/7/22,1,8:50,9:20,9:26,,
RC078,UKH2,RC078_UKH2_50nM_B,50nM,6/7/22,1,8:50,9:20,9:27,,
RC078,UKH2,RC078_UKH2_50nM_C,50nM,6/7/22,1,8:50,9:20,9:28,,
RC078,UKH2,RC078_UKH2_200nM_A,200nM,6/7/22,1,9:17,9:47,9:54,,
RC078,UKH2,RC078_UKH2_200nM_B,200nM,6/7/22,1,9:17,9:47,9:54,,
RC078,UKH2,RC078_UKH2_200nM_C,200nM,6/7/22,1,9:17,9:47,9:57,,
RC078,UKH2,RC078_UKH2_500nM_A,500nm,6/7/22,1,9:19,9:47,9:55,,
RC078,UKH2,RC078_UKH2_500nM_B,500nm,6/7/22,1,9:19,9:47,9:56,,
RC078,UKH2,RC078_UKH2_500nM_C,500nm,6/7/22,1,9:19,9:47,9:58,,
RC078,UKH2,RC078_UKH2_2000nM_A,2000nM,6/7/22,1,9:46,10:16,10:24,,
RC078,UKH2,RC078_UKH2_2000nM_B,2000nM,6/7/22,1,9:46,10:16,10:26,,
RC078,UKH2,RC078_UKH2_2000nM_C,2000nM,6/7/22,1,9:46,10:16,10:23,,
RC078,UKH2,RC078_UKH2_10nM_Blk,10nM,6/7/22,0.5,,,,,
RC078,UKH2,RC078_UKH2_200nM_Blk,200nM,6/7/22,0.5,,,,,
RC078,UKH2,RC078_UKH2_2000nM_Blk,2000nM,6/7/22,0.5,,,,,
RC078,UKG1,RC078_UKG1_0nM_A,0nM,6/8/22,1,13:55,14:18,14:30,,
RC078,UKG1,RC078_UKG1_0nM_B,0nM,6/8/22,1,13:55,14:18,14:31,,
RC078,UKG1,RC078_UKG1_0nM_C,0nM,6/8/22,1,13:55,14:18,14:31,,
RC078,UKG1,RC078_UKG1_1000nM_A,1000nM,6/8/22,1,14:57,15:20,15:31,,
RC078,UKG1,RC078_UKG1_1000nM_B,1000nM,6/8/22,1,14:57,15:20,15:33,,
RC078,UKG1,RC078_UKG1_1000nM_C,1000nM,6/8/22,1,14:57,15:20,15:31,,
RC078,UKG1,RC078_UKG1_10nM_A,10nM,6/8/22,1,13:55,14:18,14:33,,
RC078,UKG1,RC078_UKG1_10nM_B,10nM,6/8/22,1,13:55,14:18,14:33,,
RC078,UKG1,RC078_UKG1_10nM_C,10nM,6/8/22,0.9,13:55,14:18,14:33,,
RC078,UKG1,RC078_UKG1_50nM_A,50nM,6/8/22,1,14:26,14:50,15:00,,
RC078,UKG1,RC078_UKG1_50nM_B,50nM,6/8/22,1,14:26,14:50,15:02,,
RC078,UKG1,RC078_UKG1_50nM_C,50nM,6/8/22,1,14:26,14:50,15:03,,
RC078,UKG1,RC078_UKG1_200nM_A,200nM,6/8/22,1,14:27,14:50,15:02,,
RC078,UKG1,RC078_UKG1_200nM_B,200nM,6/8/22,1,14:27,14:50,15:04,,
RC078,UKG1,RC078_UKG1_200nM_C,200nM,6/8/22,1,14:27,14:50,15:05,,
RC078,UKG1,RC078_UKG1_500nM_A,500nM,6/8/22,1,14:55,15:21,15:33,,
RC078,UKG1,RC078_UKG1_500nM_B,500nM,6/8/22,1,14:55,15:21,15:35,,
RC078,UKG1,RC078_UKG1_500nM_C,500nM,6/8/22,1,14:55,15:21,15:34,,
RC078,UKG1,RC078_UKG1_2000nM_A,2000nM,6/8/22,1,15:24,15:53,16:02,,
RC078,UKG1,RC078_UKG1_2000nM_B,2000nM,6/8/22,1,15:24,15:53,16:04,,
RC078,UKG1,RC078_UKG1_2000nM_C,2000nM,6/8/22,1,15:24,15:53,16:13,,
RC078,UKG1,RC078_UKG1_5000nM_A,5000nM,6/8/22,1,15:26,15:53,16:05,,
RC104,UKH1,RC104_UKH1_0nM_A,0nM,9/1/23,1.5,13:19,13:49,13:56,,
RC104,UKH1,RC104_UKH1_0nM_B,0nM,9/1/23,1.5,13:19,13:49,14:00,,
RC104,UKH1,RC104_UKH1_0nM_C,0nM,9/1/23,1.5,13:19,13:49,14:00,,
RC104,UKH1,RC104_UKH1_10nM_A,10nM,9/1/23,1.5,13:19,13:49,14:00,,
RC104,UKH1,RC104_UKH1_10nM_B,10nM,9/1/23,1.5,13:19,13:49,14:00,,
RC104,UKH1,RC104_UKH1_10nM_C,10nM,9/1/23,1.5,13:19,13:49,14:00,,
RC104,UKH1,RC104_UKH1_100nM_A,100nM,9/1/23,1.5,13:52,14:23,14:30,,
RC104,UKH1,RC104_UKH1_100nM_B,100nM,9/1/23,1.5,13:52,14:23,14:35,,
RC104,UKH1,RC104_UKH1_100nM_C,100nM,9/1/23,1.5,13:52,14:23,14:34,,
RC104,UKH1,RC104_UKH1_250nM_A,250nM,9/1/23,1.5,13:52,14:23,14:39,,
RC104,UKH1,RC104_UKH1_250nM_B,250nM,9/1/23,1.5,13:52,14:23,14:39,,
RC104,UKH1,RC104_UKH1_250nM_C,250nM,9/1/23,1.5,13:52,14:23,14:32,,
RC104,UKH1,RC104_UKH1_1000nM_A,1000nM,9/1/23,1.5,14:13,14:50,15:09,,
RC104,UKH1,RC104_UKH1_1000nM_B,1000nM,9/1/23,1.5,14:13,14:50,15:09,,
RC104,UKH1,RC104_UKH1_1000nM_C,1000nM,9/1/23,1.5,14:13,14:50,15:09,,
RC104,UKH1,RC104_UKH1_2000nM_A,2000nM,9/1/23,1.5,14:13,14:47,15:06,,
RC104,UKH1,RC104_UKH1_2000nM_B,2000nM,9/1/23,1.5,14:13,14:47,15:04,,
RC104,UKH1,RC104_UKH1_2000nM_C,2000nM,9/1/23,1.5,14:13,14:47,14:56,,
RC104,UKH1,RC104_UKH1_3000nM_A,3000nM,9/1/23,1.5,14:34,15:11,15:33,,
RC104,UKH1,RC104_UKH1_3000nM_B,3000nM,9/1/23,1.5,14:34,15:11,15:28,,
RC104,UKH1,RC104_UKH1_3000nM_C,3000nM,9/1/23,1.5,14:34,15:11,15:21,,
RC104,UKH1,RC104_UKH1_250nM_Blk,250nM,9/1/23,,,,,,
RC104,UKH1,RC104_UKH1_1000nM_Blk,1000nM,9/1/23,,,,,,
RC104,UKH1,RC104_UKH1_2000nM_Blk,2000nM,9/1/23,,,,,,
RC104,UKH1,RC104_UKH1_3000nM_Blk,3000nM,9/1/23,,,,,,
RC104,UCH1,RC104_UCH1_Gluc_A,Gluc,9/3/23,2,13:55,14:22,14:47,,
RC104,UCH1,RC104_UCH1_Gluc_B,Gluc,9/3/23,2,13:55,14:22,14:47,,
RC104,UCH1,RC104_UCH1_Gluc_C,Gluc,9/3/23,2,13:55,14:22,14:47,,
RC104,UCH1,RC104_UCH1_Con_A,Con,9/3/23,2,13:55,14:22,14:36,,
RC104,UCH1,RC104_UCH1_Con_B,Con,9/3/23,2,13:55,14:22,14:47,,
RC104,UCH1,RC104_UCH1_Con_C,Con,9/3/23,2,13:55,14:22,14:41,,
RC104,UCH1,RC104_UCH1_GBT_A,GBT,9/3/23,2,14:28,14:58,15:26,,
RC104,UCH1,RC104_UCH1_GBT_B,GBT,9/3/23,2,14:28,14:58,15:19,,
RC104,UCH1,RC104_UCH1_GBT_C,GBT,9/3/23,2,14:28,14:58,15:26,,
RC104,UCH1,RC104_UCH1_DMSP_A,DMSP,9/3/23,2,14:28,14:58,15:13,,
RC104,UCH1,RC104_UCH1_DMSP_B,DMSP,9/3/23,2,14:28,14:58,15:15,,
RC104,UCH1,RC104_UCH1_DMSP_C,DMSP,9/3/23,2,14:28,14:58,15:17,,
RC104,UCH1,RC104_UCH1_Trig_A,Trig,9/3/23,2,14:55,15:25,15:38,,
RC104,UCH1,RC104_UCH1_Trig_B,Trig,9/3/23,2,14:55,15:25,15:40,,
RC104,UCH1,RC104_UCH1_Trig_C,Trig,9/3/23,2,14:55,15:25,15:41,,
RC104,UCH1,RC104_UCH1_Hom_A,Hom,9/3/23,2,14:55,15:28,15:56,,
RC104,UCH1,RC104_UCH1_Hom_B,Hom,9/3/23,2,14:55,15:28,15:56,,
RC104,UCH1,RC104_UCH1_Hom_C,Hom,9/3/23,2,14:55,15:31,15:55,,
RC104,UCH1,RC104_UCH1_TMAO_A,TMAO,9/3/23,2,15:27,15:59,16:06,,
RC104,UCH1,RC104_UCH1_TMAO_B,TMAO,9/3/23,2,15:27,15:59,16:09,,
RC104,UCH1,RC104_UCH1_TMAO_C,TMAO,9/3/23,2,15:27,15:59,16:11,,
RC104,UKG1,RC104_UKG1_0nM_A,0nM,9/3/23,1.5,15:27,15:55,16:27,,
RC104,UKG1,RC104_UKG1_0nM_B,0nM,9/3/23,1.5,15:27,15:55,16:20,,
RC104,UKG1,RC104_UKG1_0nM_C,0nM,9/3/23,1.5,15:27,15:55,16:18,,
RC104,UKG1,RC104_UKG1_10nM_A,10nM,9/3/23,1.5,15:57,16:29,16:39,,
RC104,UKG1,RC104_UKG1_10nM_B,10nM,9/3/23,1.5,15:57,16:29,16:42,,
RC104,UKG1,RC104_UKG1_10nM_C,10nM,9/3/23,1.5,15:57,16:29,16:47,,
RC104,UKG1,RC104_UKG1_100nM_A,100nM,9/3/23,1.5,15:57,16:33,16:54,,
RC104,UKG1,RC104_UKG1_100nM_B,100nM,9/3/23,1.5,15:57,16:32,16:46,,
RC104,UKG1,RC104_UKG1_100nM_C,100nM,9/3/23,1.5,15:57,16:32,16:48,,
RC104,UKG1,RC104_UKG1_250nM_A,250nM,9/3/23,1.5,16:25,16:52,17:15,,
RC104,UKG1,RC104_UKG1_250nM_B,250nM,9/3/23,1.5,16:25,16:52,17:08,,
RC104,UKG1,RC104_UKG1_250nM_C,250nM,9/3/23,1.5,16:25,16:52,17:18,,
RC104,UKG1,RC104_UKG1_500nM_A,500nM,9/3/23,1.5,16:25,16:52,17:17,,
RC104,UKG1,RC104_UKG1_500nM_B,500nM,9/3/23,1.5,16:25,16:52,17:14,,
RC104,UKG1,RC104_UKG1_500nM_C,500nM,9/3/23,1.5,16:25,16:52,17:12,,
RC104,UKG1,RC104_UKG1_1000nM_A,1000nM,9/3/23,1.5,16:58,17:25,17:38,,
RC104,UKG1,RC104_UKG1_1000nM_B,1000nM,9/3/23,1.5,16:58,17:29,17:43,,
RC104,UKG1,RC104_UKG1_1000nM_C,1000nM,9/3/23,1.5,16:58,17:25,17:46,,
RC104,UKG1,RC104_UKG1_3000nM_A,3000nM,9/3/23,1.5,16:58,17:23,17:45,,
RC104,UKG1,RC104_UKG1_3000nM_B,3000nM,9/3/23,1.5,16:58,17:25,17:37,,
RC104,UKG1,RC104_UKG1_3000nM_C,3000nM,9/3/23,1.5,16:58,17:25,17:42,,
RC104,UKG1,RC104_UKG1_250nM_Blk,250nM,9/3/23,,,,,,
RC104,UKG1,RC104_UKG1_500nM_Blk,500nM,9/3/23,,,,,,
RC104,UKG1,RC104_UKG1_1000nM_Blk,1000nM,9/3/23,,,,,,
RC104,UKG1,RC104_UKG1_3000nM_Blk,3000nM,9/3/23,,,,,,